,Unnamed: 0,stem,terms,anticipation,joy,trust,fear,sadness,disgust,anger,surprise,positive,negative,none,total
0,0,thi,thy this,0,0,0,1,0,0,0,0,0,0,1,2
1,1,is,is,0,0,0,0,0,0,0,0,0,0,5,5
2,2,becaus,because,0,0,0,0,0,0,0,0,1,0,10,11
3,3,export,exporters exporting export exporter exportable exported exports,1,1,0,0,0,0,0,0,0,0,0,2
4,4,to,to,0,0,0,0,0,0,0,0,0,0,4,4
5,5,the,the,0,0,0,0,0,0,0,0,0,0,11,11
6,6,stock,stocks stock stocking stocked,0,4,2,0,0,1,0,2,0,0,2,11
7,7,and,and,0,0,0,0,0,0,0,0,0,0,2,2
8,8,bake,bake baking baked,0,2,0,0,0,0,0,0,0,0,1,3
9,9,ice,ice icing,2,0,0,2,1,1,0,2,0,1,2,11
10,10,gelatin,gelatin,0,2,0,0,0,0,0,0,0,0,1,3
11,11,sprinkl,sprinkles sprinkled,0,2,0,0,1,0,0,0,0,0,0,3
12,12,of,of,0,0,0,0,0,1,0,0,0,1,7,9
13,13,which,which,0,0,0,0,0,0,0,0,0,0,3,3
14,14,are,are,0,0,0,0,0,0,0,0,0,0,10,10
15,15,domest,domestically domestic,0,3,1,0,0,0,0,0,0,0,0,4
16,16,in,in ins,0,0,0,0,0,0,0,0,0,0,9,9
17,17,these,these theses,0,0,0,0,0,0,0,0,0,0,3,3
18,18,don,donning don dons,0,1,0,0,0,0,0,0,0,0,1,2
19,19,tast,taste tasting tastes tastefully tasted,0,2,0,0,0,0,0,0,0,0,0,2
20,20,as,as,0,0,0,0,0,0,0,0,0,0,12,12
21,21,good,goodness good goods,0,2,0,0,0,0,0,0,0,0,0,2
22,22,they,they,0,0,0,0,0,0,0,0,0,0,3,3
23,23,sound,sounding sound sounded sounds,0,1,0,0,0,0,0,0,0,0,3,4
24,24,or,or,0,0,0,0,0,0,0,0,0,0,3,3
25,25,if,if ifs,1,0,0,0,0,0,0,0,0,0,9,10
26,26,think,thinking thinks think,1,0,0,0,0,0,0,0,0,0,0,1
27,27,idea,ideas idea,1,0,0,0,0,0,0,1,0,0,0,2
28,28,absolut,absolute absolutely,0,2,0,0,1,0,0,1,5,0,1,10
29,29,horrend,horrendously horrendous,0,0,0,1,0,0,0,0,0,0,0,1
30,30,just,just,0,0,0,0,0,0,0,0,0,0,1,1
31,31,spoken,spoken,0,1,0,1,0,0,0,0,0,0,0,2
32,32,now,now,0,0,0,0,0,0,0,0,0,0,3,3
33,33,be,being be beings,0,0,0,0,0,0,0,0,0,0,1,1
34,34,recognis,recognising recognised recognise,0,0,0,0,1,0,0,0,0,0,0,1
35,35,edit,edited edition edit edits editing,0,1,1,0,0,0,0,0,0,0,1,3
36,36,sinc,since,0,0,0,0,0,0,0,0,0,0,11,11
37,37,appar,apparently apparent,1,0,1,0,0,0,0,0,0,0,1,3
38,38,plethora,plethora,1,3,0,0,0,0,0,0,0,0,0,4
39,39,seriou,serious,0,0,0,1,0,0,0,0,0,0,0,1
40,40,out,outs out,0,0,0,0,0,0,1,1,0,0,7,9
41,41,about,about,0,0,0,0,0,0,0,0,0,0,1,1
42,42,herebi,hereby,0,0,0,0,0,0,0,0,0,0,4,4
43,43,dub,dubbed dub dubs,0,1,0,1,0,0,0,0,0,0,1,3
44,44,quit,quitting quits quite quit quitted,2,1,0,0,3,1,0,0,1,2,4,14
45,45,obviou,obvious,0,0,0,0,0,0,0,0,0,0,2,2
46,46,joke,jokes joking joke joked,0,5,0,0,0,0,0,0,0,0,0,5
47,47,tag,tagging tag tagged tags,1,1,0,0,0,0,0,0,0,0,1,3
48,48,begun,begun,0,2,0,0,0,0,0,0,0,0,0,2
49,49,culinari,culinary,0,3,1,0,0,0,0,0,1,1,3,9
50,50,have,have haves having,0,0,0,0,0,0,0,0,0,0,1,1
51,51,for,for,0,0,0,0,0,0,0,0,0,0,3,3
52,52,sure,surely sure,0,2,0,0,0,0,0,0,0,0,0,2
53,53,glad,glad,0,7,0,0,0,0,0,0,0,0,1,8
54,54,on,ons on,0,0,0,0,0,0,0,0,0,0,1,1
55,55,their,their theirs,0,0,0,0,0,0,0,1,0,0,10,11
56,56,side,sided sides side siding,0,0,0,0,1,0,0,0,0,0,1,2
57,57,ha,ha has,0,1,0,0,0,0,0,0,0,0,2,3
58,58,take,takes take taking,0,0,0,0,0,0,0,0,0,0,1,1
59,59,how,how hows,0,0,0,0,0,0,0,0,0,0,2,2
60,60,we,we,0,0,0,0,0,0,0,0,0,0,4,4
61,61,associ,associating associated association associate associative associations associates,0,1,0,0,0,0,0,0,0,0,2,3
62,62,let,let letting lets,0,0,0,0,0,0,0,0,0,0,1,1
63,63,choos,choosing choose chooses,0,1,0,0,0,0,0,0,0,0,1,2
64,64,new,new,1,2,0,0,0,0,0,0,0,0,0,3
65,65,sourc,sourcing source sources sourced,1,3,1,0,0,0,0,0,0,0,0,5
66,66,pizza,pizzas pizza,1,4,0,0,0,0,0,0,1,0,3,9
67,67,box,boxing boxed box boxes,0,0,0,0,0,0,0,0,0,0,2,2
68,68,flag,flags flag,1,2,0,0,0,0,0,0,0,0,0,3
69,69,start,starting started start starts,1,1,0,1,0,0,0,0,0,0,0,3
70,70,us,us,0,1,0,0,0,0,0,0,0,0,4,5
71,71,littl,little,0,0,0,0,0,1,0,0,0,0,0,1
72,72,often,often,0,0,0,0,0,0,0,0,0,0,2,2
73,73,get,gets get getting,1,0,0,0,0,0,0,0,0,0,0,1
74,74,confus,confusing confused confuses confusion confuse,0,1,0,0,1,0,0,0,0,0,0,2
75,75,find,findings finds finding find,1,2,0,0,0,0,0,1,0,0,0,4
76,76,indic,indicating indication indicated indicators indicate indicative indications indicates indicator indices,1,1,0,0,0,0,0,0,0,0,1,3
77,77,instead,instead,0,0,0,0,0,0,0,0,0,0,9,9
78,78,remind,reminder reminded remind reminds reminding,0,0,0,0,0,0,0,0,0,0,1,1
79,79,me,mes me,0,0,0,0,0,0,0,0,0,0,1,1
80,80,anti,anti,0,0,0,0,0,1,0,0,0,0,1,2
81,81,invas,invasions invasion,0,0,0,0,0,0,0,0,0,0,1,1
82,82,dump,dumps dumped dump dumping,0,0,0,2,2,2,0,0,0,0,2,8
83,83,expens,expenses expense expensive,0,0,0,0,1,0,0,0,0,0,0,1
84,84,wine,wining wine wines,0,2,0,0,0,0,0,0,0,0,0,2
85,85,into,into,0,0,0,0,0,0,0,0,0,0,1,1
86,86,gutter,gutter gutters,0,0,1,0,0,0,0,0,0,0,0,1
87,87,want,wanting want wants wanted,0,0,0,0,0,0,0,0,0,0,2,2
88,88,renam,renamed renames renaming rename,1,0,0,0,0,0,0,0,0,0,2,3
89,89,fri,fries fried fry frying,0,0,0,0,1,0,0,0,0,0,0,1
90,90,freedom,freedoms freedom,0,1,1,0,0,0,0,0,0,0,0,2
91,91,but,but buts,0,0,0,0,0,0,0,0,0,0,3,3
92,92,realli,really,0,1,0,0,0,0,0,1,4,2,1,9
93,93,would,would,0,0,0,0,0,0,0,0,0,0,1,1
94,94,burger,burger burgers,1,7,1,0,0,0,0,0,0,0,3,12
95,95,chicken,chickened chicken chickens,0,0,0,1,1,0,0,0,0,0,7,9
96,96,breast,breast,0,0,0,0,0,0,0,0,0,0,2,2
97,97,chees,cheesed cheeses cheese,0,0,0,0,0,0,0,0,0,0,2,2
98,98,an,an,0,0,0,0,0,0,0,0,0,0,7,7
99,99,my,my,0,0,0,0,0,0,0,0,0,0,2,2
100,100,bleed,bleed bleeding bleeds,0,0,0,1,0,0,0,0,0,0,0,1
101,101,peopl,people peoples,0,0,0,0,0,0,0,0,0,0,1,1
102,102,wonder,wonderful wondered wonder wonderfully wonders wondering,0,0,0,0,0,0,0,0,0,0,2,2
103,103,stop,stops stopped stopping stop,0,0,0,0,1,0,0,0,0,0,1,2
104,104,it,its it,0,0,1,0,0,0,0,0,0,0,4,5
105,105,gotten,gotten,0,0,0,0,0,0,0,0,0,0,2,2
106,106,fair,fair faire fairness,0,1,0,0,0,0,0,0,0,0,0,1
107,107,rather,rather,0,0,0,0,0,0,0,0,0,0,1,1
108,108,put,putting put putted puts,0,0,0,0,0,0,0,0,0,0,1,1
109,109,next,next,0,0,0,0,0,0,0,0,0,0,1,1
110,110,languag,language languages,0,0,0,0,0,0,0,0,0,0,3,3
111,111,than,than,0,0,0,0,0,0,0,0,0,0,3,3
112,112,ye,yes ye,0,5,0,0,0,0,0,0,0,0,3,8
113,113,select,selection selected selecting selects selective selectively select selections,2,1,2,0,0,0,0,0,0,0,3,8
114,114,identifi,identifier identified identifies identifiable identify identifying,0,0,0,0,0,0,0,0,0,0,1,1
115,115,top,top topped topping tops toppings,0,1,0,0,0,0,0,0,0,0,1,2
116,116,post,posting posted posts post,0,0,0,0,0,0,0,0,0,0,2,2
117,117,sub,subbed sub subs,0,0,0,0,0,0,0,0,0,0,1,1
118,118,can,cans can,0,0,0,0,0,0,0,0,0,0,2,2
119,119,tea,tea,0,1,0,0,0,0,0,0,0,0,1,2
120,120,fall,fall falls falling,0,0,0,3,2,0,0,0,0,0,0,5
121,121,smash,smash smashing smashed,0,0,0,0,0,0,0,0,0,0,1,1
122,122,while,while,0,0,0,0,0,0,0,0,0,0,9,9
123,123,three,three,0,0,0,0,0,0,0,0,0,0,2,2
124,124,day,days day,0,2,2,0,0,0,0,0,3,3,8,18
125,125,bender,bender,0,0,0,0,0,0,0,0,0,0,1,1
126,126,wa,was,0,0,0,0,0,0,0,0,0,0,3,3
127,127,amaz,amaze amazes amazed amazing,0,1,0,0,0,0,0,0,0,0,0,1
128,128,anoth,another,0,0,0,0,0,0,0,0,0,0,2,2
129,129,month,months month,0,0,0,0,0,0,0,0,0,0,3,3
130,130,later,later lateral,0,0,0,0,0,0,0,0,0,0,2,2
131,131,pretti,pretty,0,3,0,0,0,0,0,0,0,0,1,4
132,132,disappoint,disappointment disappointing disappoint disappointed,0,0,0,0,4,0,2,0,0,0,2,8
133,133,way,way ways,1,0,0,0,0,0,0,0,0,0,8,9
134,134,drunk,drunks drunk,0,1,0,0,0,0,0,0,0,0,0,1
135,135,correct,corrected correct correction correcting correctness corrections,0,2,1,0,0,0,0,0,0,0,0,3
136,136,happen,happen happens happenings happened happening,0,0,0,0,1,0,0,0,0,0,1,2
137,137,back,backed back backing backs,0,0,0,1,0,0,0,0,0,0,0,1
138,138,contain,contain contained contains containing containers container containment,0,0,0,0,0,0,0,0,0,0,1,1
139,139,factori,factory factories,0,0,0,0,0,0,0,0,0,0,3,3
140,140,made,made,0,0,0,0,0,0,0,0,0,0,1,1
141,141,food,foods food,0,5,0,0,0,0,0,1,0,0,5,11
142,142,item,item items,0,2,0,0,0,0,0,0,0,0,1,3
143,143,last,last lasts lasting lasted,1,0,0,0,0,0,0,0,0,0,2,3
144,144,read,reads readings read reading,0,2,0,0,0,0,0,0,0,0,1,3
145,145,win,winning win wins,1,10,0,0,0,0,0,0,4,0,2,17
146,146,elect,elects election elect electable elections electability elective elected electing,2,1,1,0,0,1,0,0,0,0,6,11
147,147,everi,every,0,0,0,0,0,0,0,0,0,0,1,1
148,148,time,times timing time timed timings,1,0,0,0,0,0,0,0,0,0,0,1
149,149,guy,guys guy,0,0,0,0,0,0,0,0,0,0,2,2
150,150,die,dying died dies die,0,0,0,0,0,0,1,0,0,0,0,1
151,151,lad,lad lads,0,1,0,0,0,0,0,0,0,0,2,3
152,152,said,said,0,0,0,0,0,0,0,0,0,0,2,2
153,153,at,at,0,0,0,0,0,0,0,0,0,0,3,3
154,154,make,making makings makes make,0,0,1,0,0,0,0,0,0,0,2,3
155,155,sens,sense senses,1,1,0,0,0,0,0,0,0,0,0,2
156,156,ea,ea,0,0,0,0,0,0,0,0,0,0,1,1
157,157,member,member members,0,0,0,0,0,0,0,0,0,0,1,1
158,158,fun,fun,0,17,0,0,0,0,0,0,2,0,1,20
159,159,fact,fact facts,0,0,0,0,0,0,0,0,0,0,1,1
160,160,higher,higher,0,0,0,0,0,0,0,0,0,0,1,1
161,161,percentag,percentage percentages,0,1,0,0,0,1,0,0,0,0,0,2
162,162,popul,populism populations populated populate populous population,0,0,0,0,0,0,0,0,0,0,1,1
163,163,subscrib,subscribes subscriber subscribe subscribers subscribed subscribing,0,2,0,0,0,1,0,0,0,0,0,3
164,164,ll,ll,0,0,0,0,0,0,0,0,0,0,1,1
165,165,lei,leis,0,0,0,0,0,0,0,0,0,0,1,1
166,166,turn,turn turning turns turned,0,0,0,0,0,0,0,0,0,0,1,1
167,167,though,though,0,0,0,0,0,0,0,0,0,0,1,1
168,168,should,should,1,0,0,0,0,0,0,0,0,0,7,8
169,169,trigger,triggering triggered triggers trigger,1,0,0,0,0,0,0,0,0,0,1,2
170,170,harder,harder,0,0,2,4,0,0,0,0,8,0,4,18
171,171,pan,pans pan panned,0,0,0,0,0,0,0,0,0,0,1,1
172,172,meat,meat meats,0,1,0,0,0,0,0,0,0,0,1,2
173,173,fill,fill fills filled filling,0,1,1,0,0,0,0,0,0,0,0,2
174,174,say,saying say says,0,0,0,0,0,1,0,0,0,0,0,1
175,175,our,our ours,1,0,0,0,0,0,0,0,0,0,1,2
176,176,terribl,terrible terribly,0,0,0,2,0,0,0,0,0,0,0,2
177,177,final,final finalized finalize finalizing finals finale finality finally finalizes,2,1,0,0,1,0,0,1,0,0,3,8
178,178,left,lefts left,0,0,0,0,1,1,0,0,0,0,0,2
179,179,froze,froze,0,0,0,1,0,0,0,0,0,0,3,4
180,180,begin,begin beginning begins,0,0,2,0,0,0,0,0,0,0,0,2
181,181,unclear,unclear,0,0,0,0,0,0,0,0,0,0,1,1
182,182,preheat,preheated,0,0,0,0,0,0,1,0,0,0,0,1
183,183,oven,oven ovens,0,0,0,0,0,0,0,1,0,0,0,1
184,184,rememb,remembering remember remembers remembered,0,2,1,0,0,0,0,0,0,0,0,3
185,185,had,had,0,0,0,0,0,0,1,0,0,0,3,4
186,186,own,owned owns own owning,0,1,0,0,0,0,0,0,0,0,1,2
187,187,over,over overs,0,0,0,0,0,0,0,0,0,0,1,1
188,188,first,first,0,0,0,0,0,0,0,0,0,0,1,1
189,189,world,world worlds,1,1,0,1,0,0,0,0,0,0,5,8
190,190,truli,truly,0,0,1,0,0,0,0,0,0,0,0,1
191,191,insult,insulted insults insult insulting,0,0,0,0,0,1,0,0,0,0,0,1
192,192,fuck,fucks fuck fucking fucked,0,0,0,0,1,1,0,0,0,0,0,2
193,193,brilliant,brilliant,0,3,2,0,0,0,0,0,0,0,0,5
194,194,nice,nicely nice,0,3,0,0,0,0,0,0,0,0,1,4
195,195,cross,cross crosses crossing crossings crossed,0,1,0,0,0,0,0,0,0,0,1,2
196,196,too,too,0,0,0,0,0,0,0,0,0,0,2,2
197,197,immatur,immature,0,0,0,1,1,1,1,0,0,0,0,4
198,198,retard,retards retard retarded retardation,0,0,0,0,0,0,1,0,0,0,1,2
199,199,seem,seems seem seeming seemed,1,0,0,0,0,0,0,0,0,0,0,1
200,200,bit,bit bits,0,1,0,0,0,0,0,0,0,1,7,9
201,201,petti,petty pettiness,0,0,0,0,0,0,0,0,0,0,1,1
202,202,authent,authentic,0,1,0,0,0,0,0,0,0,0,0,1
203,203,cheddar,cheddar,0,2,0,0,0,0,0,0,0,0,0,2
204,204,funni,funny funnies,0,1,0,0,0,1,0,0,0,0,0,2
205,205,stuff,stuff stuffs,0,0,0,0,1,0,0,0,0,0,0,1
206,206,chang,changing change changes changed,1,0,0,0,0,0,0,0,0,0,1,2
207,207,came,came,0,0,0,0,0,0,0,0,0,0,2,2
208,208,other,other others,0,0,0,0,0,0,0,1,0,0,4,5
209,209,origin,origins origin originally originate originated originates original originating,2,0,5,0,0,0,0,0,0,0,3,10
210,210,besid,besides beside,0,1,0,0,0,0,0,0,0,0,1,2
211,211,beauti,beautiful beauty beautifully,0,4,0,0,0,0,0,0,0,0,1,5
212,212,impli,implies implied imply implying,2,1,0,0,0,0,0,0,3,1,4,11
213,213,invent,invented invention inventing invent inventiveness inventions invents,3,3,1,0,0,0,0,1,6,0,5,19
214,214,ani,any,0,0,0,0,0,0,0,0,0,0,1,1
215,215,gypsi,gypsy gypsies,0,0,0,0,0,0,1,0,0,0,0,1
216,216,steal,stealing steals steal,0,0,0,0,1,0,0,0,0,0,0,1
217,217,orphan,orphan,0,0,0,0,2,0,0,0,0,0,0,2
218,218,queen,queen queens,0,3,1,0,0,0,0,0,0,0,7,11
219,219,twenti,twenties twenty,0,1,0,0,0,0,0,0,0,0,4,5
220,220,quid,quids quid,0,0,0,0,0,0,0,0,0,0,1,1
221,221,run,run runs running,1,0,0,0,0,0,0,0,0,0,0,1
222,222,dig,digs digging dig,2,0,0,0,0,0,0,0,0,0,1,3
223,223,warm,warm warming warmed warms,0,2,0,1,0,0,0,1,0,0,0,4
224,224,cockl,cockles,0,1,0,0,0,0,0,0,0,0,1,2
225,225,heart,hearts hearted heart,0,1,0,0,0,0,0,0,0,0,1,2
226,226,cannot,cannot,0,0,0,0,0,0,0,0,0,0,2,2
227,227,undo,undo undoing,0,0,0,0,0,0,0,0,0,0,3,3
228,228,semest,semester,0,0,0,0,0,0,0,0,0,0,1,1
229,229,took,took,0,0,0,0,0,0,0,0,0,0,2,2
230,230,joy,joyfully joy joyful joys,0,1,0,0,0,0,0,0,0,0,0,1
231,231,love,loved loving loves lovely love,0,3,0,0,0,0,0,0,0,0,0,3
232,232,one,ones one,1,0,0,0,0,0,0,0,0,0,0,1
233,233,five,five,0,0,0,0,0,0,0,0,2,1,7,10
234,234,know,knowing knows know,1,1,1,0,0,0,0,0,0,0,0,3
235,235,never,never,0,0,0,0,0,1,0,0,0,0,3,4
236,236,found,founding founds found founded,0,0,0,0,0,0,0,0,0,0,1,1
237,237,oh,oh,0,0,0,0,0,0,0,0,0,0,3,3
238,238,hi,his hi,0,0,0,0,0,0,0,0,0,0,5,5
239,239,typic,typical typically,0,0,1,0,0,0,0,0,0,0,0,1
240,240,even,evened evening even evens,0,1,0,0,0,0,0,0,0,0,1,2
241,241,product,productivity production productive productively products product,0,1,1,0,0,0,0,0,0,0,0,2
242,242,bad,badness bad,0,0,0,0,1,0,0,0,0,0,1,2
243,243,especi,especially,0,0,0,0,0,0,0,0,0,0,1,1
244,244,lot,lot lots,0,2,0,0,0,0,0,0,0,0,1,3
245,245,subsidis,subsidises subsidise subsidising subsidisation subsidised,0,1,0,0,0,0,0,0,0,0,1,2
246,246,dinner,dinners dinner,0,0,0,0,0,0,0,0,0,0,1,1
247,247,break,breaking breaks break,0,0,0,1,0,0,0,0,0,0,0,1
248,248,work,work working works workings worked,0,1,1,0,0,0,0,0,0,0,0,2
249,249,big,big,1,0,0,0,0,0,0,0,0,0,0,1
250,250,much,much,0,0,0,0,0,0,0,0,0,0,2,2
251,251,more,more mores,0,0,0,0,0,0,0,0,0,0,2,2
252,252,conveni,convenience conveniently conveniences convenient,0,1,0,0,0,0,0,0,0,0,0,1
253,253,cut,cutting cut cuts,1,1,0,1,0,0,0,1,0,0,1,5
254,254,keep,keeping keeps keep,0,0,0,0,0,0,0,0,0,0,1,1
255,255,hand,hands handing handed handful hand,1,0,0,0,0,0,0,0,0,0,0,1
256,256,clean,cleaning clean,0,1,0,0,0,0,0,0,0,0,1,2
257,257,seen,seen,1,1,2,0,0,0,0,3,1,0,3,11
258,258,em,em,0,0,0,0,0,0,0,0,0,0,2,2
259,259,instantli,instantly,1,1,1,0,0,0,0,3,3,0,8,17
260,260,against,against,0,0,0,0,0,0,0,0,0,0,1,1
261,261,frozen,frozen,0,0,0,0,0,0,0,0,0,0,2,2
262,262,shape,shaped shape shaping,0,0,0,0,0,0,0,0,0,0,1,1
263,263,ah,ah,0,0,0,0,0,0,0,0,0,0,1,1
264,264,far,far,0,0,0,0,0,0,0,0,0,0,1,1
265,265,toast,toast toasted,0,0,0,0,0,0,0,0,0,0,1,1
266,266,bun,bun buns,0,0,0,0,0,0,0,1,0,0,8,9
267,267,tomato,tomatoes tomato,0,1,0,0,0,0,0,0,0,0,1,2
268,268,sauc,sauce,0,2,0,0,0,0,0,1,0,0,0,3
269,269,salami,salami,0,5,0,0,0,0,0,2,1,0,2,10
270,270,town,town towns,1,0,0,0,0,0,0,0,0,0,1,2
271,271,mini,mini,0,0,0,0,0,0,0,0,0,0,1,1
272,272,quarter,quarter quarters,0,0,0,0,0,0,0,0,0,0,2,2
273,273,pounder,pounder,0,0,0,0,0,0,0,0,0,0,1,1
274,274,thank,thanks thankfully thankful thank thanking,0,1,0,0,0,0,0,0,0,0,0,1
275,275,matter,matter matters mattered mattering,0,0,1,0,0,0,0,0,0,0,1,2
276,276,becam,became,0,1,0,0,0,0,0,0,0,0,1,2
277,277,sell,sells sell selling,0,0,0,0,0,0,0,0,0,0,1,1
278,278,disagre,disagree disagrees disagreeing disagreed,0,0,0,0,1,1,0,0,0,0,0,2
279,279,mean,meanings meaning means mean,0,0,1,0,0,0,0,0,0,0,1,2
280,280,victori,victories victory victorious,0,0,0,0,0,0,1,0,0,0,1,2
281,281,rise,rising rises rise,5,0,0,0,0,0,0,2,2,0,7,16
282,282,consid,consider considering considered considers,0,0,0,0,1,0,0,0,0,0,2,3
283,283,alreadi,already,0,0,0,0,0,0,0,0,0,0,1,1
284,284,tricki,tricky,0,0,0,0,0,0,0,0,0,0,2,2
285,285,except,exception except exceptions exceptionally excepted exceptional,1,1,0,0,5,0,0,0,1,0,1,9
286,286,tradit,traditions tradition traditionally traditional,0,1,1,0,0,0,0,0,0,0,0,2
287,287,forc,forcing forceful forced forcefully force forces,0,0,0,0,1,0,0,0,0,0,0,1
288,288,by,by,0,0,0,0,0,0,0,0,0,0,3,3
289,289,invad,invaded invade invades invaders invading,0,0,0,0,0,0,0,0,0,0,1,1
290,290,nobodi,nobody nobodies,0,1,0,0,0,0,0,0,0,0,1,2
